user_id,drink_id,drink_name,rating
M0001,D002,Iced Lemon Tea,4
M0001,D003,Green Tea,1
M0002,A001,Plain Water,5
M0002,D002,Iced Lemon Tea,5
M0002,D003,Green Tea,1
M0003,A001,Plain Water,5
M0003,D001,Fresh Fruit Juice Cold,4
M0003,D002,Iced Lemon Tea,4
M0003,D003,Green Tea,5
M0004,D001,Fresh Fruit Juice Cold,4
M0004,D002,Iced Lemon Tea,4
M0004,D003,Green Tea,5
M0005,A001,Plain Water,4
M0005,D002,Iced Lemon Tea,4
M0005,D003,Green Tea,1
M0006,D001,Fresh Fruit Juice Cold,5
M0006,D002,Iced Lemon Tea,5
M0006,D003,Green Tea,5
M0007,A001,Plain Water,5
M0007,D001,Fresh Fruit Juice Cold,3
M0007,D002,Iced Lemon Tea,3
M0007,D003,Green Tea,1
M0008,A001,Plain Water,5
M0008,D001,Fresh Fruit Juice Cold,3
M0008,D002,Iced Lemon Tea,2
M0009,A001,Plain Water,5
M0009,D001,Fresh Fruit Juice Cold,5
M0009,D002,Iced Lemon Tea,5
M0009,D003,Green Tea,1
M0010,D001,Fresh Fruit Juice Cold,5
M0010,D002,Iced Lemon Tea,4
M0010,D003,Green Tea,3
M0011,A001,Plain Water,5
M0011,D002,Iced Lemon Tea,2
M0011,D003,Green Tea,4
M0012,A001,Plain Water,4
M0012,D001,Fresh Fruit Juice Cold,3
M0012,D002,Iced Lemon Tea,4
M0012,D003,Green Tea,4
M0013,D001,Fresh Fruit Juice Cold,4
M0013,D002,Iced Lemon Tea,3
M1001,D001,Fresh Fruit Juice Cold,5
M1001,D002,Iced Lemon Tea,2
M1001,D003,Green Tea,3
M1002,A001,Plain Water,5
M1002,D002,Iced Lemon Tea,1
M1002,D003,Green Tea,1
M1003,A001,Plain Water,5
M1003,D001,Fresh Fruit Juice Cold,5
M1003,D002,Iced Lemon Tea,5
M1003,D003,Green Tea,5
M1004,A001,Plain Water,5
M1004,D001,Fresh Fruit Juice Cold,5
M1004,D002,Iced Lemon Tea,5
M1005,D001,Fresh Fruit Juice Cold,5
M1005,D002,Iced Lemon Tea,3
M1005,D003,Green Tea,2
M1006,A001,Plain Water,5
M1006,D002,Iced Lemon Tea,2
M1006,D003,Green Tea,2
M1007,A001,Plain Water,5
M1007,D001,Fresh Fruit Juice Cold,3
M1007,D002,Iced Lemon Tea,3
M1008,A001,Plain Water,3
M1008,D001,Fresh Fruit Juice Cold,5
M1008,D002,Iced Lemon Tea,5
M1008,D003,Green Tea,2
M1009,D001,Fresh Fruit Juice Cold,3
M1009,D002,Iced Lemon Tea,4
M1009,D003,Green Tea,3
M1010,A001,Plain Water,3
M1010,D002,Iced Lemon Tea,4
M1010,D003,Green Tea,3
M1011,D001,Fresh Fruit Juice Cold,3
M1011,D002,Iced Lemon Tea,3
M1011,D003,Green Tea,1
M1012,A001,Plain Water,5
M1012,D001,Fresh Fruit Juice Cold,5
M1012,D002,Iced Lemon Tea,4
M1012,D003,Green Tea,3
M1013,A001,Plain Water,1
M1013,D001,Fresh Fruit Juice Cold,4
M1013,D002,Iced Lemon Tea,2
M1013,D003,Green Tea,2
M1014,A001,Plain Water,5
M1014,D002,Iced Lemon Tea,4
M1014,D003,Green Tea,2
M1015,D001,Fresh Fruit Juice Cold,5
M1015,D002,Iced Lemon Tea,5
M1015,D003,Green Tea,2
M1016,A001,Plain Water,4
M1016,D001,Fresh Fruit Juice Cold,5
M1016,D002,Iced Lemon Tea,5
M1016,D003,Green Tea,4
M1017,D001,Fresh Fruit Juice Cold,5
M1017,D002,Iced Lemon Tea,5
M1017,D003,Green Tea,5
M1018,A001,Plain Water,5
M1018,D002,Iced Lemon Tea,5
M1018,D003,Green Tea,5
M1019,A001,Plain Water,5
M1019,D001,Fresh Fruit Juice Cold,4
M1019,D002,Iced Lemon Tea,5
M1019,D003,Green Tea,5
M1020,D001,Fresh Fruit Juice Cold,5
M1020,D002,Iced Lemon Tea,5
M1020,D003,Green Tea,5
M2001,A001,Plain Water,1
M2001,D002,Iced Lemon Tea,2
M2001,D003,Green Tea,1
M2002,A001,Plain Water,4
M2002,D001,Fresh Fruit Juice Cold,4
M2002,D002,Iced Lemon Tea,3
M2002,D003,Green Tea,1
M2003,D001,Fresh Fruit Juice Cold,5
M2003,D002,Iced Lemon Tea,5
M2003,D003,Green Tea,4
M2004,A001,Plain Water,3
M2004,D001,Fresh Fruit Juice Cold,4
M2004,D002,Iced Lemon Tea,5
M2004,D003,Green Tea,4
M3001,D001,Fresh Fruit Juice Cold,5
M3001,D002,Iced Lemon Tea,3
