user_id,food_id,food_name,rating
M0001,M005,Nasi Goreng,4
M0001,M002,Char Kuey Teow,5
M0001,M001,Burger Bakar,3
M0001,W001,Lamb Chop,5
M0002,M008,Nasi Lemak,2
M0002,M002,Char Kuey Teow,5
M0002,M001,Burger Bakar,5
M0002,W001,Lamb Chop,5
M0003,M008,Nasi Lemak,5
M0003,M005,Nasi Goreng,5
M0003,M001,Burger Bakar,3
M0003,W001,Lamb Chop,3
M0004,M008,Nasi Lemak,1
M0004,M002,Char Kuey Teow,5
M0004,M001,Burger Bakar,4
M0004,W001,Lamb Chop,5
M0005,M008,Nasi Lemak,3
M0005,M005,Nasi Goreng,4
M0005,M002,Char Kuey Teow,5
M0005,M001,Burger Bakar,5
M0006,M008,Nasi Lemak,5
M0006,M005,Nasi Goreng,2
M0006,M002,Char Kuey Teow,4
M0006,M001,Burger Bakar,3
M0006,W001,Lamb Chop,4
M0007,M008,Nasi Lemak,1
M0007,M005,Nasi Goreng,3
M0007,M001,Burger Bakar,5
M0007,W001,Lamb Chop,5
M0007,C001,Yong Tau Foo,5
M0008,M008,Nasi Lemak,4
M0008,M002,Char Kuey Teow,4
M0008,M001,Burger Bakar,5
M0008,W001,Lamb Chop,5
M0009,M008,Nasi Lemak,1
M0009,M001,Burger Bakar,5
M0009,W001,Lamb Chop,3
M0010,M008,Nasi Lemak,5
M0010,M005,Nasi Goreng,1
M0010,M001,Burger Bakar,4
M0010,C001,Yong Tau Foo,4
M0011,M005,Nasi Goreng,3
M0011,M001,Burger Bakar,5
M0011,W001,Lamb Chop,5
M0012,M005,Nasi Goreng,1
M0012,M002,Char Kuey Teow,1
M0013,M008,Nasi Lemak,5
M0013,M005,Nasi Goreng,5
M0013,M001,Burger Bakar,4
M0013,W001,Lamb Chop,3
M1001,M008,Nasi Lemak,2
M1001,M005,Nasi Goreng,2
M1001,W001,Lamb Chop,4
M1001,C001,Yong Tau Foo,2
M1002,M008,Nasi Lemak,1
M1002,M005,Nasi Goreng,3
M1002,M002,Char Kuey Teow,5
M1002,M001,Burger Bakar,3
M1002,W001,Lamb Chop,4
M1003,M008,Nasi Lemak,1
M1003,M002,Char Kuey Teow,1
M1003,M001,Burger Bakar,3
M1003,W001,Lamb Chop,1
M1004,M005,Nasi Goreng,2
M1004,M002,Char Kuey Teow,3
M1004,C001,Yong Tau Foo,4
M1005,M008,Nasi Lemak,4
M1005,M005,Nasi Goreng,3
M1005,M001,Burger Bakar,3
M1005,W001,Lamb Chop,4
M1006,M008,Nasi Lemak,4
M1006,M005,Nasi Goreng,2
M1006,M002,Char Kuey Teow,3
M1006,M001,Burger Bakar,3
M1006,W001,Lamb Chop,5
M1006,C001,Yong Tau Foo,3
M1007,M008,Nasi Lemak,4
M1007,M002,Char Kuey Teow,5
M1007,W001,Lamb Chop,4
M1008,M008,Nasi Lemak,3
M1008,M005,Nasi Goreng,4
M1008,M002,Char Kuey Teow,5
M1008,M001,Burger Bakar,1
M1008,W001,Lamb Chop,5
M1009,M005,Nasi Goreng,3
M1009,M001,Burger Bakar,5
M1009,C001,Yong Tau Foo,4
M1010,M008,Nasi Lemak,4
M1010,M005,Nasi Goreng,4
M1010,M002,Char Kuey Teow,5
M1010,M001,Burger Bakar,3
M1010,W001,Lamb Chop,4
M1011,M008,Nasi Lemak,5
M1011,M005,Nasi Goreng,5
M1011,M002,Char Kuey Teow,3
M1011,M001,Burger Bakar,1
M1011,W001,Lamb Chop,5
M1012,M008,Nasi Lemak,5
M1012,M005,Nasi Goreng,3
M1012,M002,Char Kuey Teow,5
M1012,W001,Lamb Chop,5
M1013,M008,Nasi Lemak,5
M1013,M005,Nasi Goreng,2
M1013,M002,Char Kuey Teow,5
M1013,M001,Burger Bakar,2
M1013,W001,Lamb Chop,4
M1014,M008,Nasi Lemak,3
M1014,M005,Nasi Goreng,3
M1014,M002,Char Kuey Teow,3
M1014,M001,Burger Bakar,5
M1015,M008,Nasi Lemak,5
M1015,M005,Nasi Goreng,4
M1015,M002,Char Kuey Teow,3
M1015,M001,Burger Bakar,4
M1015,W001,Lamb Chop,5
M1015,C001,Yong Tau Foo,4
M1016,M008,Nasi Lemak,5
M1016,M005,Nasi Goreng,5
M1016,M002,Char Kuey Teow,5
M1016,W001,Lamb Chop,5
M1017,M008,Nasi Lemak,5
M1017,M005,Nasi Goreng,5
M1017,M002,Char Kuey Teow,5
M1017,M001,Burger Bakar,1
M1018,M008,Nasi Lemak,4
M1018,M005,Nasi Goreng,4
M1018,M002,Char Kuey Teow,3
M1018,M001,Burger Bakar,3
M1019,M008,Nasi Lemak,2
M1019,M002,Char Kuey Teow,2
M1019,W001,Lamb Chop,5
M1020,M008,Nasi Lemak,4
M1020,M005,Nasi Goreng,5
M1020,M002,Char Kuey Teow,5
M1020,M001,Burger Bakar,5
M1020,W001,Lamb Chop,5
M1020,C001,Yong Tau Foo,5
M2001,M008,Nasi Lemak,1
M2001,M005,Nasi Goreng,4
M2001,M001,Burger Bakar,1
M2002,M008,Nasi Lemak,3
M2002,M005,Nasi Goreng,4
M2002,M002,Char Kuey Teow,4
M2002,W001,Lamb Chop,2
M2003,M008,Nasi Lemak,4
M2003,M005,Nasi Goreng,4
M2003,M002,Char Kuey Teow,4
M2003,M001,Burger Bakar,5
M2003,W001,Lamb Chop,4
M2003,C001,Yong Tau Foo,5
M2004,M008,Nasi Lemak,3
M2004,M002,Char Kuey Teow,4
M2004,M001,Burger Bakar,4
M2004,W001,Lamb Chop,4
M3001,M008,Nasi Lemak,4
M3001,M005,Nasi Goreng,3
M3001,M002,Char Kuey Teow,5
M3001,M001,Burger Bakar,5
M3001,C001,Yong Tau Foo,5
F0001,M008,Nasi Lemak,5
F0001,M005,Nasi Goreng,3
F0001,M002,Char Kuey Teow,4
F0001,W001,Lamb Chop,5
F0002,M008,Nasi Lemak,3
F0002,M005,Nasi Goreng,4
F0002,M002,Char Kuey Teow,5
F0002,M001,Burger Bakar,3
F0002,C001,Yong Tau Foo,5
F0003,M008,Nasi Lemak,4
F0003,M005,Nasi Goreng,4
F0003,M002,Char Kuey Teow,5
F0003,M001,Burger Bakar,4
F0003,W001,Lamb Chop,5
F0004,M008,Nasi Lemak,2
F0004,M001,Burger Bakar,5
F0005,M008,Nasi Lemak,3
F0005,M005,Nasi Goreng,3
F0005,M002,Char Kuey Teow,3
F0005,W001,Lamb Chop,3
F0005,C001,Yong Tau Foo,1
F0006,M008,Nasi Lemak,5
F0006,M005,Nasi Goreng,5
F0006,M002,Char Kuey Teow,5
F0006,M001,Burger Bakar,5
F0006,W001,Lamb Chop,5
F0007,M005,Nasi Goreng,3
F0007,M002,Char Kuey Teow,5
F0007,M001,Burger Bakar,4
F0007,W001,Lamb Chop,4
F0007,C001,Yong Tau Foo,4
F0008,M008,Nasi Lemak,1
F0008,M005,Nasi Goreng,3
F0008,M002,Char Kuey Teow,4
F0008,M001,Burger Bakar,4
F0008,W001,Lamb Chop,5
F0008,C001,Yong Tau Foo,4
F1001,M008,Nasi Lemak,4
F1001,M001,Burger Bakar,4
F1001,W001,Lamb Chop,5
F1001,C001,Yong Tau Foo,4
F1002,M008,Nasi Lemak,1
F1002,M005,Nasi Goreng,3
F1002,M002,Char Kuey Teow,4
F1003,M008,Nasi Lemak,3
F1003,M005,Nasi Goreng,4
F1003,M001,Burger Bakar,2
F1003,W001,Lamb Chop,3
F1004,M008,Nasi Lemak,4
F1004,M005,Nasi Goreng,4
F1004,M002,Char Kuey Teow,4
F1004,M001,Burger Bakar,4
F1004,W001,Lamb Chop,5
F1004,C001,Yong Tau Foo,4
F1005,M005,Nasi Goreng,4
F1005,M002,Char Kuey Teow,4
F1005,W001,Lamb Chop,5
F1005,C001,Yong Tau Foo,5
F1006,M008,Nasi Lemak,5
F1006,M005,Nasi Goreng,3
F1006,M002,Char Kuey Teow,5
F1006,M001,Burger Bakar,3
F1007,M008,Nasi Lemak,1
F1007,M005,Nasi Goreng,3
F1007,M002,Char Kuey Teow,5
F1007,M001,Burger Bakar,5
F1007,W001,Lamb Chop,4
F1008,M008,Nasi Lemak,1
F1008,M005,Nasi Goreng,3
F1008,M002,Char Kuey Teow,4
F1008,C001,Yong Tau Foo,4
F1009,M005,Nasi Goreng,5
F1009,M002,Char Kuey Teow,4
F1009,M001,Burger Bakar,3
F1009,W001,Lamb Chop,4
F1009,C001,Yong Tau Foo,2
F1010,M008,Nasi Lemak,1
F1010,M005,Nasi Goreng,1
F1010,M002,Char Kuey Teow,4
F1010,M001,Burger Bakar,5
F1010,C001,Yong Tau Foo,3
F1011,M008,Nasi Lemak,3
F1011,M005,Nasi Goreng,3
F1011,M002,Char Kuey Teow,3
F1011,M001,Burger Bakar,4
F1012,M008,Nasi Lemak,4
F1012,M001,Burger Bakar,1
F1012,W001,Lamb Chop,4
F1013,M005,Nasi Goreng,5
F1013,M002,Char Kuey Teow,5
F1013,M001,Burger Bakar,3
F1013,W001,Lamb Chop,2
F1013,C001,Yong Tau Foo,3
F1014,M008,Nasi Lemak,4
F1014,M005,Nasi Goreng,2
F1014,C001,Yong Tau Foo,1
F1015,M008,Nasi Lemak,5
F1015,M005,Nasi Goreng,5
F1015,M002,Char Kuey Teow,4
F1015,M001,Burger Bakar,3
F1016,M008,Nasi Lemak,2
F1016,M002,Char Kuey Teow,3
F1016,M001,Burger Bakar,4
F1016,W001,Lamb Chop,4
F1016,C001,Yong Tau Foo,2
